country_iso3,country_name,year,Internet_Users_Pct,GDP_Per_Capita,GNI_Per_Capita,Female_Labor_Participation_Pct,Urban_Population_Pct,GDP_Per_Capita_Log,GNI_Per_Capita_Log,DII,HCI,ESI,GEI,SRI,PSI,SSI,EMRI_Score,Layer1_Internet_Met,Layer1_Urban_Met,Layer1_FLFP_Met,Layer1_Pass,Layer2_GDP_Met,Layer2_GNI_Met,Layer2_Pass,Population_Millions,Layer3_Pop_Met,Layer3_Urban_Met,Layer3_Pass,Layers_Passed,Market_Readiness_Tier,High_Readiness
ABW,Aruba,2018,81.13288156744596,30082.1584226798,27970.0,71.31452351067446,62.5367636985996,10.311720773305565,10.23892353814896,73.3971130400522,77.86071867259096,72.92429230069763,71.81112567637607,66.19115215396138,75.21544648951826,72.92429230069763,73.47426750169123,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
ABW,Aruba,2019,81.35145232616986,30645.8906024548,29320.0,76.42208045608882,62.288276286885,10.330286487684821,10.286059261830983,73.46801603759974,81.26284185853149,73.43554615985047,71.95154858380913,66.10824970383042,75.96761719428285,73.43554615985047,74.3812004692611,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
ABW,Aruba,2020,79.77587231936667,22759.8071750722,22790.0,62.80764268566042,62.0028837566365,10.032795352245516,10.034121000171332,72.2349154150341,70.38872021983612,69.25948995365232,69.5047518382987,65.26187233507218,71.94729958744873,69.25948995365232,70.1227377622208,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
ABW,Aruba,2021,86.79970916561126,26749.3296093118,26550.0,63.520492957283466,61.9275339886843,10.194302074091672,10.186822690744211,77.26346943751143,72.02053860968562,71.65371929516607,73.31640178372265,68.09790713831951,74.38404457076065,71.65371929516607,73.21324025438678,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
ABW,Aruba,2022,85.31712553083514,30975.9989121779,30160.0,66.16909747302621,61.8811657924257,10.341000237495978,10.314304978070902,76.18039711399157,74.78271216375194,73.73891431618955,73.55040195968526,67.45597856406614,76.41834964583241,73.73891431618955,74.17884330725404,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
AFE,Africa Eastern and Southern,2018,19.6,1552.0737219491912,1435.8077423065897,61.2618358874407,35.714718464725,7.347991292691141,7.270179086109829,19.789202023682826,49.853138383217484,27.65978321009461,23.027852992420776,22.236116824917186,27.84155610820059,27.65978321009461,29.143426577641712,False,False,True,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFE,Africa Eastern and Southern,2019,21.6,1507.08559963484,1501.9969526935874,60.6698092923716,36.09733070176979,7.318596310640485,7.315216362268276,21.361540221753067,49.26044801118211,27.805114050767614,23.767791814317277,23.324631211665842,28.560240730023768,27.805114050767614,29.709019545967283,False,False,True,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFE,Africa Eastern and Southern,2020,23.5,1351.5916691087896,1393.4592887584895,59.4336814464777,36.4883219609866,7.209777785953448,7.240262012491863,22.864825927823603,47.67752351948999,26.414812034790522,24.00595221577082,24.377848714884678,27.364152886399584,26.414812034790522,29.430209576257035,False,False,True,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFE,Africa Eastern and Southern,2021,25.0,1562.4161747773778,1473.0102072313603,59.4544572511058,36.9085426088519,7.354628561630996,7.295741997576974,24.090411286540558,48.74540487529521,27.912066869979704,25.563875017294073,25.28689792527472,28.249477566324092,27.912066869979704,30.659725565078396,False,False,True,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFE,Africa Eastern and Southern,2022,26.799999999999997,1679.327621664659,1569.1733317015605,59.8313046841424,37.3605781096471,7.426744066280392,7.358941294606144,25.542954892052954,49.511488520685866,28.941359995467025,26.828899803855496,26.341439327846864,29.25798355867373,28.941359995467025,31.76620869505478,False,False,True,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFG,Afghanistan,2018,16.79999924,491.33722138260237,520.0,19.805,24.9991645191406,6.199163891020853,6.255750041753367,14.04863019351242,14.971948426861918,11.201792871454682,12.701442541029987,13.633600759066509,11.653753108195373,11.201792871454682,13.105875092443348,False,False,False,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFG,Afghanistan,2019,17.600000379999997,496.60250425850063,520.0,18.298000000000002,25.143725883980295,6.209801574086142,6.255750041753367,14.674616780046234,14.085471770782904,11.279240994702771,13.125894365599732,14.063107956365059,11.653753108195373,11.279240994702771,13.18983434085985,False,False,False,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFG,Afghanistan,2020,17.048500060000002,510.7870633668117,490.0000000000018,16.473999999999997,25.2622103446137,6.237908646670806,6.196444127794524,14.318919988131338,13.12341857132737,11.010687215839852,13.090270135139017,13.91870137561098,10.707375973942442,11.010687215839852,12.728720263727514,False,False,False,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFG,Afghanistan,2021,16.514299390000005,356.49621411589214,380.0,14.616,25.347862027248098,5.879124772192373,5.942799375126701,13.964257862177655,9.32284120298307,6.374770796783517,10.800728629535465,13.758578685226443,6.659826950169653,6.374770796783517,10.071238831830064,False,False,False,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFG,Afghanistan,2022,15.866299629999993,357.2611527981444,370.0,5.158999999999999,25.3939250580909,5.8812621975514,5.916202062607435,13.513935465283275,3.2894070446545713,6.17811843416073,10.557376077308614,13.524130135741206,6.235398984717826,6.17811843416073,8.612585403568682,False,False,False,False,False,False,False,,False,False,False,0,Tier_4_Low,0
AFW,Africa Western and Central,2018,25.7,1720.1400924272184,1614.0989495639205,65.8917145304178,49.3179475986921,7.450742194657584,7.387151502859711,28.908613517617937,53.56263743668679,29.34116234875807,29.287840378121157,34.20364568414234,29.708149389727552,29.34116234875807,34.594934999130466,False,False,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AFW,Africa Western and Central,2019,28.5,2216.3850552083277,1784.1371692254706,65.661572505949,49.8900751494997,7.70408387753396,7.487250536765741,31.122566855637366,55.25989668748515,31.984295413383297,32.04747310051777,35.752925547032646,31.30548480749411,31.984295413383297,36.73928325025665,False,False,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AFW,Africa Western and Central,2020,31.499999999999996,2030.8616586029293,1869.7227133514498,64.3710758149085,50.4763178807468,7.616707724984533,7.5340801129134,33.48535903269796,53.798308307028115,31.721792130321575,32.90813492186219,37.39426688706608,32.0527701474293,31.721792130321575,37.29696664779626,False,False,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AFW,Africa Western and Central,2021,34.7,2112.7940763707884,2086.46853063233,65.0587604739967,51.0723969922682,7.6562397522110155,7.64370738146519,35.99550241603548,54.52598780384183,32.88429816049624,34.59249163812545,39.12469443871417,33.80215285351185,32.88429816049624,38.877081597936446,False,False,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AFW,Africa Western and Central,2022,37.5,2138.47315259913,2153.6491357925497,65.6799234185922,51.6816941134779,7.668314887331834,7.6753831752648285,38.2223786924087,55.01121679137199,33.22494576138777,35.95549821350613,40.69982017831205,34.30762094194048,33.22494576138777,39.96036840509939,False,False,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AGO,Angola,2018,29.0,2860.0936483682,2270.0,73.224,65.8732136723372,7.958959225254077,7.7279755421055585,37.03933631787755,61.95269534590431,35.76061743380957,37.442221725034855,47.072423969165044,35.146866307062915,35.76061743380957,42.55667870722893,False,True,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AGO,Angola,2019,32.12939835,2493.6788444017693,2440.0,72.985,66.6637823180533,7.821915280221881,7.80016307039296,39.56628994100337,60.80206888159852,35.33883098985373,38.11416885896405,48.90905621565494,36.298802456244324,35.33883098985373,43.218896762120316,False,True,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AGO,Angola,2020,33.32089996,1759.356199182641,2020.0,71.342,67.4568270208187,7.473271453454162,7.611347717403621,40.699484048575044,57.21283736826349,31.293998856866548,36.75731411370872,49.9504842584927,33.28577187064347,31.293998856866548,41.44029522429759,False,True,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AGO,Angola,2021,34.55649948,2303.908126627759,1990.0,74.695,68.2524163556969,7.742796096340403,7.596392304064196,41.86529821819423,61.319808143569546,33.1369590865495,39.01966602466354,51.01181620180769,33.04712010266708,33.1369590865495,43.32238618781367,False,True,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
AGO,Angola,2022,35.83800125,3682.113151369802,2340.0,74.018,69.0506188977513,8.211513638582367,7.75833346749091,43.0650547970868,64.29929641913091,37.8415701068333,42.46168631540425,52.09384173237162,35.63130444333363,37.8415701068333,46.105198758917155,False,True,True,False,False,False,False,,False,True,False,0,Tier_4_Low,0
ALB,Albania,2018,65.40000153,5897.654525887741,5400.0,51.406,56.377000259892,8.682479557427559,8.594339400592892,59.93324338570126,53.2648355637256,47.94076193220466,54.42411391564045,55.43808796091724,48.97191158306276,47.94076193220466,53.50487978818364,False,True,True,False,True,True,True,,False,True,False,1,,0
ALB,Albania,2019,68.5503911218006,6069.43903131027,5900.0,52.931,56.7639071287255,8.7111862094957,8.682877107057168,62.334960301929904,54.44927376463184,48.85618445943095,55.976534855968175,57.002666096652604,50.384756530956786,48.85618445943095,55.02403669162434,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
ALB,Albania,2020,72.23767711,6027.91350716348,5970.0,52.252,57.1408592155544,8.704322092253388,8.694669696546992,65.11959727783122,53.96498941715008,48.900300372358174,57.54025798638722,58.78111136510602,50.57293737670761,48.900300372358174,55.987402968797454,True,True,True,True,True,True,True,,False,True,False,2,Tier_2_Good,1
